row,k,dst_lane,dst_reg,dst_byte,src_lane,src_reg,src_byte
0,0,0,0,0,63,7,3
0,1,0,0,1,59,0,1
0,2,0,0,2,59,0,2
0,3,0,0,3,59,0,3
0,4,0,1,0,48,2,0
0,5,0,1,1,48,2,1
0,6,0,1,2,48,2,2
0,7,0,1,3,48,2,3
0,8,0,2,0,63,1,0
0,9,0,2,1,63,1,1
0,10,0,2,2,63,1,2
0,11,0,2,3,63,1,3
0,12,0,3,0,63,3,0
0,13,0,3,1,63,3,1
0,14,0,3,2,63,3,2
0,15,0,3,3,63,3,3
0,16,0,4,0,27,4,0
0,17,0,4,1,27,4,1
0,18,0,4,2,27,4,2
0,19,0,4,3,27,4,3
0,20,0,5,0,48,6,0
0,21,0,5,1,48,6,1
0,22,0,5,2,48,6,2
0,23,0,5,3,48,6,3
0,24,0,6,0,-1,-1,-1
0,25,0,6,1,-1,-1,-1
0,26,0,6,2,-1,-1,-1
0,27,0,6,3,-1,-1,-1
0,28,0,7,0,-1,-1,-1
0,29,0,7,1,-1,-1,-1
0,30,0,7,2,-1,-1,-1
0,31,0,7,3,-1,-1,-1
1,0,1,0,0,49,3,3
1,1,1,0,1,-1,-1,-1
1,2,1,0,2,-1,-1,-1
1,3,1,0,3,-1,-1,-1
1,4,1,1,0,49,2,0
1,5,1,1,1,49,2,1
1,6,1,1,2,49,2,2
1,7,1,1,3,49,2,3
1,8,1,2,0,49,7,0
1,9,1,2,1,49,7,1
1,10,1,2,2,49,7,2
1,11,1,2,3,49,7,3
1,12,1,3,0,-1,-1,-1
1,13,1,3,1,-1,-1,-1
1,14,1,3,2,-1,-1,-1
1,15,1,3,3,-1,-1,-1
1,16,1,4,0,-1,-1,-1
1,17,1,4,1,-1,-1,-1
1,18,1,4,2,-1,-1,-1
1,19,1,4,3,-1,-1,-1
1,20,1,5,0,49,6,0
1,21,1,5,1,49,6,1
1,22,1,5,2,49,6,2
1,23,1,5,3,49,6,3
1,24,1,6,0,-1,-1,-1
1,25,1,6,1,-1,-1,-1
1,26,1,6,2,-1,-1,-1
1,27,1,6,3,-1,-1,-1
1,28,1,7,0,-1,-1,-1
1,29,1,7,1,-1,-1,-1
1,30,1,7,2,-1,-1,-1
1,31,1,7,3,-1,-1,-1
2,0,2,0,0,50,3,3
2,1,2,0,1,-1,-1,-1
2,2,2,0,2,-1,-1,-1
2,3,2,0,3,-1,-1,-1
2,4,2,1,0,50,2,0
2,5,2,1,1,50,2,1
2,6,2,1,2,50,2,2
2,7,2,1,3,50,2,3
2,8,2,2,0,50,7,0
2,9,2,2,1,50,7,1
2,10,2,2,2,50,7,2
2,11,2,2,3,50,7,3
2,12,2,3,0,-1,-1,-1
2,13,2,3,1,-1,-1,-1
2,14,2,3,2,-1,-1,-1
2,15,2,3,3,-1,-1,-1
2,16,2,4,0,-1,-1,-1
2,17,2,4,1,-1,-1,-1
2,18,2,4,2,-1,-1,-1
2,19,2,4,3,-1,-1,-1
2,20,2,5,0,50,6,0
2,21,2,5,1,50,6,1
2,22,2,5,2,50,6,2
2,23,2,5,3,50,6,3
2,24,2,6,0,-1,-1,-1
2,25,2,6,1,-1,-1,-1
2,26,2,6,2,-1,-1,-1
2,27,2,6,3,-1,-1,-1
2,28,2,7,0,-1,-1,-1
2,29,2,7,1,-1,-1,-1
2,30,2,7,2,-1,-1,-1
2,31,2,7,3,-1,-1,-1
3,0,3,0,0,51,3,3
3,1,3,0,1,-1,-1,-1
3,2,3,0,2,-1,-1,-1
3,3,3,0,3,-1,-1,-1
3,4,3,1,0,51,2,0
3,5,3,1,1,51,2,1
3,6,3,1,2,51,2,2
3,7,3,1,3,51,2,3
3,8,3,2,0,51,7,0
3,9,3,2,1,51,7,1
3,10,3,2,2,51,7,2
3,11,3,2,3,51,7,3
3,12,3,3,0,-1,-1,-1
3,13,3,3,1,-1,-1,-1
3,14,3,3,2,-1,-1,-1
3,15,3,3,3,-1,-1,-1
3,16,3,4,0,-1,-1,-1
3,17,3,4,1,-1,-1,-1
3,18,3,4,2,-1,-1,-1
3,19,3,4,3,-1,-1,-1
3,20,3,5,0,51,6,0
3,21,3,5,1,51,6,1
3,22,3,5,2,51,6,2
3,23,3,5,3,51,6,3
3,24,3,6,0,-1,-1,-1
3,25,3,6,1,-1,-1,-1
3,26,3,6,2,-1,-1,-1
3,27,3,6,3,-1,-1,-1
3,28,3,7,0,-1,-1,-1
3,29,3,7,1,-1,-1,-1
3,30,3,7,2,-1,-1,-1
3,31,3,7,3,-1,-1,-1
4,0,4,0,0,-1,-1,-1
4,1,4,0,1,-1,-1,-1
4,2,4,0,2,-1,-1,-1
4,3,4,0,3,-1,-1,-1
4,4,4,1,0,-1,-1,-1
4,5,4,1,1,-1,-1,-1
4,6,4,1,2,-1,-1,-1
4,7,4,1,3,-1,-1,-1
4,8,4,2,0,-1,-1,-1
4,9,4,2,1,-1,-1,-1
4,10,4,2,2,-1,-1,-1
4,11,4,2,3,-1,-1,-1
4,12,4,3,0,-1,-1,-1
4,13,4,3,1,-1,-1,-1
4,14,4,3,2,-1,-1,-1
4,15,4,3,3,-1,-1,-1
4,16,4,4,0,-1,-1,-1
4,17,4,4,1,-1,-1,-1
4,18,4,4,2,-1,-1,-1
4,19,4,4,3,-1,-1,-1
4,20,4,5,0,-1,-1,-1
4,21,4,5,1,-1,-1,-1
4,22,4,5,2,-1,-1,-1
4,23,4,5,3,-1,-1,-1
4,24,4,6,0,-1,-1,-1
4,25,4,6,1,-1,-1,-1
4,26,4,6,2,-1,-1,-1
4,27,4,6,3,-1,-1,-1
4,28,4,7,0,-1,-1,-1
4,29,4,7,1,-1,-1,-1
4,30,4,7,2,-1,-1,-1
4,31,4,7,3,-1,-1,-1
5,0,5,0,0,-1,-1,-1
5,1,5,0,1,-1,-1,-1
5,2,5,0,2,-1,-1,-1
5,3,5,0,3,-1,-1,-1
5,4,5,1,0,-1,-1,-1
5,5,5,1,1,-1,-1,-1
5,6,5,1,2,-1,-1,-1
5,7,5,1,3,-1,-1,-1
5,8,5,2,0,-1,-1,-1
5,9,5,2,1,-1,-1,-1
5,10,5,2,2,-1,-1,-1
5,11,5,2,3,-1,-1,-1
5,12,5,3,0,-1,-1,-1
5,13,5,3,1,-1,-1,-1
5,14,5,3,2,-1,-1,-1
5,15,5,3,3,-1,-1,-1
5,16,5,4,0,-1,-1,-1
5,17,5,4,1,-1,-1,-1
5,18,5,4,2,-1,-1,-1
5,19,5,4,3,-1,-1,-1
5,20,5,5,0,-1,-1,-1
5,21,5,5,1,-1,-1,-1
5,22,5,5,2,-1,-1,-1
5,23,5,5,3,-1,-1,-1
5,24,5,6,0,-1,-1,-1
5,25,5,6,1,-1,-1,-1
5,26,5,6,2,-1,-1,-1
5,27,5,6,3,-1,-1,-1
5,28,5,7,0,-1,-1,-1
