lane,addr
0,41984
0,42240
0,42496
0,42752
0,43040
0,44128
0,44256
0,45216
0,47392
0,48480
0,48608
0,49568
1,42008
1,42264
1,42520
1,42776
1,43064
1,44152
1,44280
1,45240
1,47416
1,48504
1,48632
1,49592
2,42144
2,42400
2,42656
2,42912
2,43136
2,44224
2,44352
2,45312
2,47488
2,48576
2,48704
2,49664
3,42168
3,42424
3,42680
3,42936
3,43160
3,44248
3,44376
3,45336
3,47512
3,48600
3,48728
3,49688
4,42256
4,42512
4,42768
4,43024
4,43312
4,44400
4,44528
4,45488
4,47664
4,48752
4,48880
4,49840
5,42264
5,42520
5,42776
5,43032
5,43320
5,44408
5,44536
5,45496
5,47672
5,48760
5,48888
5,49848
6,42416
6,42672
6,42928
6,43184
6,43408
6,44496
6,44624
6,45584
6,47760
6,48848
6,48976
6,49936
7,42424
7,42680
7,42936
7,43192
7,43416
7,44504
7,44632
7,45592
7,47768
7,48856
7,48984
7,49944
8,42528
8,42784
8,43040
8,43296
8,43520
8,44608
8,44736
8,45696
8,47872
8,48960
8,49088
8,50048
9,42552
9,42808
9,43064
9,43320
9,43544
9,44632
9,44760
9,45720
9,47896
9,48984
9,49112
9,50072
10,42656
10,42912
10,43168
10,43424
10,43648
10,44736
10,44864
10,45824
10,48000
10,49088
10,49216
10,50176
11,42680
11,42936
11,43192
11,43448
11,43672
11,44760
11,44888
11,45848
11,48024
11,49112
11,49240
11,50200
12,42800
12,43056
12,43312
12,43568
12,43792
12,44880
12,45008
12,45968
12,48144
12,49232
12,49360
12,50320
13,42808
13,43064
13,43320
13,43576
13,43800
13,44888
13,45016
13,45976
13,48152
13,49240
13,49368
13,50328
14,42928
14,43184
14,43440
14,43696
14,43920
14,45008
14,45136
14,46096
14,48272
14,49360
14,49488
14,50448
15,42936
15,43192
15,43448
15,43704
15,43928
15,45016
15,45144
15,46104
15,48280
15,49368
15,49496
15,50456
16,42000
16,42256
16,42512
16,42768
16,43056
16,44144
16,44272
16,45232
16,47408
16,48496
16,48624
16,49584
17,41992
17,42248
17,42504
17,42760
17,43048
17,44136
17,44264
17,45224
17,47400
17,48488
17,48616
17,49576
18,42160
18,42416
18,42672
18,42928
18,43152
18,44240
18,44368
18,45328
18,47504
18,48592
18,48720
18,49680
19,42152
19,42408
19,42664
19,42920
19,43144
19,44232
19,44360
19,45320
19,47496
19,48584
19,48712
19,49672
20,42240
20,42496
20,42752
20,43008
20,43296
20,44384
20,44512
20,45472
20,47648
20,48736
20,48864
20,49824
21,42248
21,42504
21,42760
21,43016
21,43304
21,44392
21,44520
21,45480
21,47656
21,48744
21,48872
21,49832
22,42400
22,42656
22,42912
22,43168
22,43392
22,44480
22,44608
22,45568
22,47744
22,48832
22,48960
22,49920
23,42408
23,42664
23,42920
23,43176
23,43400
23,44488
23,44616
23,45576
23,47752
23,48840
23,48968
23,49928
24,42544
24,42800
24,43056
24,43312
24,43536
24,44624
24,44752
24,45712
24,47888
24,48976
24,49104
24,50064
25,42536
25,42792
25,43048
25,43304
25,43528
25,44616
25,44744
