lane,addr
0,42096
0,46192
1,42096
1,46192
2,42096
2,46192
3,42096
3,46192
4,42096
4,46192
5,42096
5,46192
6,42096
6,46192
7,42096
7,46192
8,42096
8,46192
9,42096
9,46192
10,42096
10,46192
11,42096
11,46192
12,42096
12,46192
13,42096
13,46192
14,42096
14,46192
15,42096
15,46192
16,42096
16,46192
17,42080
17,46176
18,42096
18,46192
19,42080
19,46176
20,42096
20,46192
21,42080
21,46176
22,42096
22,46192
23,42080
23,46176
24,42096
24,46192
25,42080
25,46176
26,42096
26,46192
27,42080
27,46176
28,42096
28,46192
29,42080
29,46176
30,42096
30,46192
31,42080
31,46176
32,42096
32,46192
33,42096
33,46192
34,42064
34,46160
35,42064
35,46160
36,42096
36,46192
37,42096
37,46192
38,42064
38,46160
39,42064
39,46160
40,42096
40,46192
41,42096
41,46192
42,42064
42,46160
43,42064
43,46160
44,42096
44,46192
45,42096
45,46192
46,42064
46,46160
47,42064
47,46160
48,42096
48,46192
49,42080
49,46176
50,42064
50,46160
51,42048
51,46144
52,42096
52,46192
53,42080
53,46176
54,42064
54,46160
55,42048
55,46144
56,42096
56,46192
57,42080
57,46176
58,42064
58,46160
59,42048
59,46144
60,42096
60,46192
61,42080
61,46176
62,42064
62,46160
63,42048
63,46144
